GOOG,Alphabet Inc,20171005,Google launches new phones  speakers in hardware push ,SAN FRANCISCO Alphabet Inc's Google  on Wednesday unveiled the second generation of its Pixel smartphone along with new voice-enabled home speakers  redoubling its commitment to the hardware business as it competes with a surge of devices from Apple Inc  and Amazon.com Inc . | Video ,normal
GOOG,Alphabet Inc,20171004,UPDATE 3-Google launches new phones  speakers in hardware push ,SAN FRANCISCO  Oct 4 Alphabet Inc's Google on Wednesday unveiled the second generation of its Pixel smartphone along with new voice-enabled home speakers  redoubling its commitment to the hardware business as it competes with a surge of devices from Apple Inc and Amazon.com Inc.,topStory
GOOG,Alphabet Inc,20171004,UPDATE 1-Alphabet unit nears deal for Toronto waterfront development -WSJ ,Oct 4 A unit of Google parent Alphabet Inc is nearing a deal to develop part of Toronto's waterfront  the Wall Street Journal reported on Wednesday  citing people familiar with the matter.,normal
GOOG,Alphabet Inc,20171004,Alphabet unit nears deal for Toronto waterfront development -WSJ ,Oct 4 A unit of Google parent Alphabet Inc is nearing a deal to develop part of Toronto's waterfront  the Wall Street Journal reported on Wednesday  citing people familiar with the matter.,normal
GOOG,Alphabet Inc,20171004,BRIEF-Alphabet's Google launches slew of new products headlined by Google Pixel 2 ,* Voice match is getting rolled out to all regions where Home is sold - Google Exec,normal
GOOG,Alphabet Inc,20171003,UPDATE 1-U.S. judge says he will delay Uber-Waymo trade secrets trial ,SAN FRANCISCO  Oct 3 A U.S. judge on Tuesday said he would delay a trade secrets trial over self-driving car technology between Alphabet Inc's Waymo unit and ride provider Uber Technologies Inc until December.,normal
GOOG,Alphabet Inc,20170927,U.S. lawmakers ask Facebook  Twitter for information on anti-fracking ads ,WASHINGTON A U.S. House committee investigating whether Russia has tried to influence U.S. public opinion on fossil fuels asked Facebook   Twitter  and Alphabet  on Wednesday to turn over information about Russian entities that may have bought anti-fracking advertisements.,topStory
GOOG,Alphabet Inc,20170922,UPDATE 1-Zuckerberg nixes new Facebook share class after shareholder lawsuit ,WILMINGTON  Del.  Sept 22 Facebook Inc Chairman Mark Zuckerberg abandoned plans on Friday to create a new class of company stock with no voting power  which was meant to be a way for Zuckerberg to retain control over the company he founded while fulfilling a pledge to give away his wealth.,normal
GOOG,Alphabet Inc,20170921,Google to buy part of HTC's smartphone operations for $1.1 bln ,TAIPEI  Sept 21 Alphabet Inc's Google will acquire part of Taiwanese smartphone maker HTC's smartphone operations for $1.1 billion  the companies said in a joint statement on Thursday.,normal
GOOG,Alphabet Inc,20170920,Waymo seeking $2.6 bln from Uber for one trade secret - lawyer ,SAN FRANCISCO Alphabet Inc's Waymo unit is seeking about $2.6 billion from Uber for the alleged theft of one of several trade secrets in a lawsuit over self-driving cars  a lawyer for Uber said on Wednesday.,topStory
GOOG,Alphabet Inc,20170920,Waymo seeking $2.6 billion from Uber for one trade secret: lawyer ,SAN FRANCISCO Alphabet Inc's Waymo unit is seeking about $2.6 billion from Uber for the alleged theft of one of several trade secrets in a lawsuit over self-driving cars  a lawyer for Uber said on Wednesday.,normal
GOOG,Alphabet Inc,20170920,UPDATE 1-Waymo seeking $2.6 bln from Uber for one trade secret -lawyer ,SAN FRANCISCO  Sept 20 Alphabet Inc's Waymo unit is seeking about $2.6 billion from Uber for the alleged theft of one of several trade secrets in a lawsuit over self-driving cars  a lawyer for Uber said on Wednesday.,normal
GOOG,Alphabet Inc,20170920,Google close to buying smartphone maker HTC's assets: Bloomberg ,Alphabet Inc's  Google is close to acquiring assets of Taiwanese smartphone maker HTC Corp   Bloomberg reported  citing a person familiar with the matter.,normal
GOOG,Alphabet Inc,20170920,Google close to buying smartphone maker HTC's assets -Bbg ,Sept 20 Alphabet Inc's Google is close to acquiring assets of Taiwanese smartphone maker HTC Corp   Bloomberg reported  citing a person familiar with the matter.,normal
GOOG,Alphabet Inc,20170920,Amazon working on 'smart glasses' as its first wearable device: FT ,Amazon.com Inc is working on its first wearable device - a pair of 'smart glasses'  the Financial Times reported on Wednesday.,normal
GOOG,Alphabet Inc,20170920,Amazon working on 'smart glasses' as its first wearable device - FT ,Sept 20 Amazon.com Inc is working on its first wearable device - a pair of 'smart glasses'  the Financial Times reported on Wednesday.,normal
GOOG,Alphabet Inc,20170915,Alphabet talks with Lyft about possible investment: source ,SAN FRANCISCO Alphabet Inc  is in discussions with Lyft Inc about a possible investment in the ride-hailing company  potentially deepening an existing partnership between the two firms  a person familiar with the talks said on Thursday. | Video ,topStory
